Time;CH 1 Channel 1
0.004041780;0
0.004041820;1
0.004041880;0
0.004041920;1
0.004041980;0
0.004042020;1
0.004042080;0
0.004042120;1
0.004042180;0
0.004042220;1
0.004042280;0
0.004042320;1
0.004042380;0
0.004042420;1
0.004042480;0
0.004042520;1
0.004042580;0
0.004042620;1
0.004042680;0
0.004042720;1
0.004042780;0
0.004042820;1
0.004042880;0
0.004042920;1
0.004042980;0
0.004043020;1
0.004043080;0
0.004043120;1
0.004043180;0
0.004043220;1
0.004043280;0
0.004043320;1
0.004043380;0
0.004043420;1
0.004043480;0
0.004043520;1
0.004043580;0
0.004043620;1
0.004043680;0
0.004043720;1
0.004043780;0
0.004043820;1
0.004043880;0
0.004043920;1
0.004043980;0
0.004044020;1
0.004044080;0
0.004044120;1
0.004044180;0
0.004044220;1
0.004044280;0
0.004044320;1
0.004044380;0
0.004044420;1
0.004044480;0
0.004044520;1
0.004044580;0
0.004044620;1
0.004044680;0
0.004044720;1
0.004044780;0
0.004044820;1
0.004044880;0
0.004044920;1
0.004044980;0
0.004045020;1
0.004045080;0
0.004045120;1
0.004045180;0
0.004045220;1
0.004045280;0
0.004045320;1
0.004045380;0
0.004045420;1
0.004045480;0
0.004045520;1
0.004045580;0
0.004045620;1
0.004045680;0
0.004045720;1
0.004045780;0
0.004045820;1
0.004045880;0
0.004045920;1
0.004045980;0
0.004046020;1
0.004046080;0
0.004046120;1
0.004046180;0
0.004046220;1
0.004046280;0
0.004046320;1
0.004046380;0
0.004046420;1
0.004046480;0
0.004046520;1
0.004046580;0
0.004046620;1
0.004046680;0
0.004046720;1
0.004046780;0
0.004046820;1
0.004046880;0
0.004046920;1
0.004046980;0
0.004047020;1
0.004047080;0
0.004047120;1
0.004047180;0
0.004047220;1
0.004047280;0
0.004047320;1
0.004047380;0
0.004047420;1
0.004047480;0
0.004047520;1
0.004047580;0
0.004047620;1
0.004047680;0
0.004047720;1
0.004047780;0
0.004047820;1
0.004047880;0
0.004047920;1
